"Step","8agents_0highspeed - Training_Reward_Mean","8agents_0highspeed - Training_Reward_Mean__MIN","8agents_0highspeed - Training_Reward_Mean__MAX","8agents_0incentive - Training_Reward_Mean","8agents_0incentive - Training_Reward_Mean__MIN","8agents_0incentive - Training_Reward_Mean__MAX","8agents - Training_Reward_Mean","8agents - Training_Reward_Mean__MIN","8agents - Training_Reward_Mean__MAX"
"0","-37.36186137149016","-37.36186137149016","-37.36186137149016","-41.70216639720685","-41.70216639720685","-41.70216639720685","-152.37662124324703","-152.37662124324703","-152.37662124324703"
"1","-5.522639671305797","-5.522639671305797","-5.522639671305797","-18.93987984491046","-18.93987984491046","-18.93987984491046","-149.77289767832193","-149.77289767832193","-149.77289767832193"
"2","-16.257102519403414","-16.257102519403414","-16.257102519403414","-26.525389923405232","-26.525389923405232","-26.525389923405232","-148.0982715758828","-148.0982715758828","-148.0982715758828"
"3","-13.4525993117096","-13.4525993117096","-13.4525993117096","-22.613781457364198","-22.613781457364198","-22.613781457364198","-155.68658452765484","-155.68658452765484","-155.68658452765484"
"4","-17.63841749297206","-17.63841749297206","-17.63841749297206","-26.098074269296426","-26.098074269296426","-26.098074269296426","-160.03644206008343","-160.03644206008343","-160.03644206008343"
"5","-20.725208055422666","-20.725208055422666","-20.725208055422666","-27.416510388367524","-27.416510388367524","-27.416510388367524","-162.043596417029","-162.043596417029","-162.043596417029"
"6","-22.819611784632855","-22.819611784632855","-22.819611784632855","-29.49945867507039","-29.49945867507039","-29.49945867507039","-164.7523328553309","-164.7523328553309","-164.7523328553309"
"7","-24.854011548077715","-24.854011548077715","-24.854011548077715","-31.19307688361655","-31.19307688361655","-31.19307688361655","-167.21228859461883","-167.21228859461883","-167.21228859461883"
"8","-26.576757972200458","-26.576757972200458","-26.576757972200458","-32.6077599667308","-32.6077599667308","-32.6077599667308","-167.27289910327394","-167.27289910327394","-167.27289910327394"
"9","-27.372898452789883","-27.372898452789883","-27.372898452789883","-30.134211349905918","-30.134211349905918","-30.134211349905918","-169.45919072311816","-169.45919072311816","-169.45919072311816"
"10","-27.773536334926288","-27.773536334926288","-27.773536334926288","-29.29628164433701","-29.29628164433701","-29.29628164433701","-168.19855787893422","-168.19855787893422","-168.19855787893422"
"11","-28.534205284896455","-28.534205284896455","-28.534205284896455","-30.41130218765031","-30.41130218765031","-30.41130218765031","-169.6189894584304","-169.6189894584304","-169.6189894584304"
"12","-29.28673763246711","-29.28673763246711","-29.28673763246711","-31.414982167665304","-31.414982167665304","-31.414982167665304","-169.53612767401415","-169.53612767401415","-169.53612767401415"
"13","-26.159668231766773","-26.159668231766773","-26.159668231766773","-30.327554549255087","-30.327554549255087","-30.327554549255087","-170.10299186662948","-170.10299186662948","-170.10299186662948"
"14","-26.472409362668294","-26.472409362668294","-26.472409362668294","-30.89863236650807","-30.89863236650807","-30.89863236650807","-170.17236259040823","-170.17236259040823","-170.17236259040823"
"15","-27.103171236970567","-27.103171236970567","-27.103171236970567","-31.53740789309324","-31.53740789309324","-31.53740789309324","-170.82652484985917","-170.82652484985917","-170.82652484985917"
"16","-27.45392891750242","-27.45392891750242","-27.45392891750242","-32.107140630017064","-32.107140630017064","-32.107140630017064","-171.29332570263244","-171.29332570263244","-171.29332570263244"
"17","-25.741915341197156","-25.741915341197156","-25.741915341197156","-31.034811029737252","-31.034811029737252","-31.034811029737252","-172.01431569884727","-172.01431569884727","-172.01431569884727"
"18","-24.762311059879345","-24.762311059879345","-24.762311059879345","-31.047034653873155","-31.047034653873155","-31.047034653873155","-155.55846847510423","-155.55846847510423","-155.55846847510423"
"19","-25.436988165571528","-25.436988165571528","-25.436988165571528","-31.620487856392334","-31.620487856392334","-31.620487856392334","-141.1195477705326","-141.1195477705326","-141.1195477705326"
"20","-25.68773050427505","-25.68773050427505","-25.68773050427505","-31.001629224515455","-31.001629224515455","-31.001629224515455","-143.02835725410992","-143.02835725410992","-143.02835725410992"
"21","-25.80890831547129","-25.80890831547129","-25.80890831547129","-31.321146945213346","-31.321146945213346","-31.321146945213346","-144.7105594401137","-144.7105594401137","-144.7105594401137"
"22","-24.827764875745505","-24.827764875745505","-24.827764875745505","-31.587271318519228","-31.587271318519228","-31.587271318519228","-145.56896828987573","-145.56896828987573","-145.56896828987573"
