"Step","1agent - Training_Episode_Length_Mean","1agent - Training_Episode_Length_Mean__MIN","1agent - Training_Episode_Length_Mean__MAX","4agents - Training_Episode_Length_Mean","4agents - Training_Episode_Length_Mean__MIN","4agents - Training_Episode_Length_Mean__MAX","8agents - Training_Episode_Length_Mean","8agents - Training_Episode_Length_Mean__MIN","8agents - Training_Episode_Length_Mean__MAX"
"0","71","71","71","21","21","21","42","42","42"
"1","78.5","78.5","78.5","36","36","36","44.5","44.5","44.5"
"2","55","55","55","28.333333333333332","28.333333333333332","28.333333333333332","46.333333333333336","46.333333333333336","46.333333333333336"
"3","44.75","44.75","44.75","28","28","28","38.75","38.75","38.75"
"4","55.8","55.8","55.8","24.8","24.8","24.8","33.8","33.8","33.8"
"5","63.166666666666664","63.166666666666664","63.166666666666664","22.833333333333332","22.833333333333332","22.833333333333332","31.166666666666668","31.166666666666668","31.166666666666668"
"6","61.714285714285715","61.714285714285715","61.714285714285715","23.857142857142858","23.857142857142858","23.857142857142858","28.714285714285715","28.714285714285715","28.714285714285715"
"7","66.5","66.5","66.5","21.5","21.5","21.5","26.5","26.5","26.5"
"8","70.22222222222223","70.22222222222223","70.22222222222223","21.444444444444443","21.444444444444443","21.444444444444443","25.88888888888889","25.88888888888889","25.88888888888889"
"9","69.5","69.5","69.5","20.1","20.1","20.1","24","24","24"
"10","72.27272727272727","72.27272727272727","72.27272727272727","21.454545454545453","21.454545454545453","21.454545454545453","25.363636363636363","25.363636363636363","25.363636363636363"
"11","74.58333333333333","74.58333333333333","74.58333333333333","21.666666666666668","21.666666666666668","21.666666666666668","24.083333333333332","24.083333333333332","24.083333333333332"
"12","69.61538461538461","69.61538461538461","69.61538461538461","22","22","22","24.23076923076923","24.23076923076923","24.23076923076923"
"13","71.78571428571429","71.78571428571429","71.78571428571429","21.428571428571427","21.428571428571427","21.428571428571427","23.785714285714285","23.785714285714285","23.785714285714285"
