"Step","1agent - Training_Reward_Mean","1agent - Training_Reward_Mean__MIN","1agent - Training_Reward_Mean__MAX","4agents - Training_Reward_Mean","4agents - Training_Reward_Mean__MIN","4agents - Training_Reward_Mean__MAX","8agents - Training_Reward_Mean","8agents - Training_Reward_Mean__MIN","8agents - Training_Reward_Mean__MAX"
"0","-110.06198058737606","-110.06198058737606","-110.06198058737606","-19.85437103663821","-19.85437103663821","-19.85437103663821","-152.37662124324703","-152.37662124324703","-152.37662124324703"
"1","-101.22010744836335","-101.22010744836335","-101.22010744836335","-2.3984894837158226","-2.3984894837158226","-2.3984894837158226","-149.77289767832193","-149.77289767832193","-149.77289767832193"
"2","-130.04688990413317","-130.04688990413317","-130.04688990413317","-12.162817056313303","-12.162817056313303","-12.162817056313303","-148.0982715758828","-148.0982715758828","-148.0982715758828"
"3","-143.33708898614694","-143.33708898614694","-143.33708898614694","-13.587131865153992","-13.587131865153992","-13.587131865153992","-155.68658452765484","-155.68658452765484","-155.68658452765484"
"4","-91.59162410242283","-91.59162410242283","-91.59162410242283","-17.48495193345995","-17.48495193345995","-17.48495193345995","-160.03644206008343","-160.03644206008343","-160.03644206008343"
"5","-57.65248934514286","-57.65248934514286","-57.65248934514286","-20.188376273291635","-20.188376273291635","-20.188376273291635","-162.043596417029","-162.043596417029","-162.043596417029"
"6","-68.49716514930199","-68.49716514930199","-68.49716514930199","-18.621495384976892","-18.621495384976892","-18.621495384976892","-164.7523328553309","-164.7523328553309","-164.7523328553309"
"7","-46.71569151118946","-46.71569151118946","-46.71569151118946","-21.70801801167045","-21.70801801167045","-21.70801801167045","-167.21228859461883","-167.21228859461883","-167.21228859461883"
"8","-27.203494078955984","-27.203494078955984","-27.203494078955984","-21.263162685965455","-21.263162685965455","-21.263162685965455","-167.27289910327394","-167.27289910327394","-167.27289910327394"
"9","-37.211189521007576","-37.211189521007576","-37.211189521007576","-23.07402579396268","-23.07402579396268","-23.07402579396268","-169.45919072311816","-169.45919072311816","-169.45919072311816"
"10","-23.92057406043892","-23.92057406043892","-23.92057406043892","-21.281688938114062","-21.281688938114062","-21.281688938114062","-168.19855787893422","-168.19855787893422","-168.19855787893422"
"11","-12.726183097897541","-12.726183097897541","-12.726183097897541","-20.98828238568267","-20.98828238568267","-20.98828238568267","-169.6189894584304","-169.6189894584304","-169.6189894584304"
"12","-25.925648969230522","-25.925648969230522","-25.925648969230522","-20.61353240382007","-20.61353240382007","-20.61353240382007","-169.53612767401415","-169.53612767401415","-169.53612767401415"
"13","-16.026548369446534","-16.026548369446534","-16.026548369446534","-21.456692614408023","-21.456692614408023","-21.456692614408023","-170.10299186662948","-170.10299186662948","-170.10299186662948"
"14","-5.634044113040587","-5.634044113040587","-5.634044113040587","-22.601738868746494","-22.601738868746494","-22.601738868746494","-170.17236259040823","-170.17236259040823","-170.17236259040823"
"15","1.7224348550293413","1.7224348550293413","1.7224348550293413","-23.62354547931917","-23.62354547931917","-23.62354547931917","-170.82652484985917","-170.82652484985917","-170.82652484985917"
"16","9.053462455712971","9.053462455712971","9.053462455712971","-24.69563580161821","-24.69563580161821","-24.69563580161821","-171.29332570263244","-171.29332570263244","-171.29332570263244"
"17","0.22459687391621705","0.22459687391621705","0.22459687391621705","-25.24843542205415","-25.24843542205415","-25.24843542205415","-172.01431569884727","-172.01431569884727","-172.01431569884727"
"18","6.113381357061845","6.113381357061845","6.113381357061845","-25.40034741146667","-25.40034741146667","-25.40034741146667","-155.55846847510423","-155.55846847510423","-155.55846847510423"
"19","-3.512774324076126","-3.512774324076126","-3.512774324076126","-26.001985102719395","-26.001985102719395","-26.001985102719395","-141.1195477705326","-141.1195477705326","-141.1195477705326"
"20","1.8311850214775578","1.8311850214775578","1.8311850214775578","-25.915539933875948","-25.915539933875948","-25.915539933875948","-143.02835725410992","-143.02835725410992","-143.02835725410992"
"21","8.66075275768125","8.66075275768125","8.66075275768125","-26.672795788156236","-26.672795788156236","-26.672795788156236","-144.7105594401137","-144.7105594401137","-144.7105594401137"
