"global_step","4 agents 4 humans - rollout/ep_len_mean","4 agents 4 humans - rollout/ep_len_mean__MIN","4 agents 4 humans - rollout/ep_len_mean__MAX","4 agents 4 humans - _step","4 agents 4 humans - _step__MIN","4 agents 4 humans - _step__MAX","8 agents - rollout/ep_len_mean","8 agents - rollout/ep_len_mean__MIN","8 agents - rollout/ep_len_mean__MAX","8 agents - _step","8 agents - _step__MIN","8 agents - _step__MAX"
"100","15.5","15.5","15.5","0","0","0","1","1","1","0","0","0"
"200","15.5","15.5","15.5","3","3","3","1","1","1","3","3","3"
"300","58","58","58","15","15","15","100.5","100.5","100.5","15","15","15"
"400","58","58","58","27","27","27","100.5","100.5","100.5","27","27","27"
"500","72.166664","72.166664","72.166664","39","39","39","103.75","103.75","103.75","39","39","39"
"600","72.166664","72.166664","72.166664","51","51","51","103.75","103.75","103.75","51","51","51"
"700","82.75","82.75","82.75","63","63","63","123","123","123","63","63","63"
"800","82.75","82.75","82.75","75","75","75","123","123","123","75","75","75"
"900","95.77778","95.77778","95.77778","87","87","87","135.83333","135.83333","135.83333","87","87","87"
"1000","95.77778","95.77778","95.77778","99","99","99","135.83333","135.83333","135.83333","99","99","99"
"1100","88.666664","88.666664","88.666664","111","111","111","145","145","145","111","111","111"
"1200","88.666664","88.666664","88.666664","123","123","123","145","145","145","123","123","123"
"1300","90.35714","90.35714","90.35714","135","135","135","138.55556","138.55556","138.55556","135","135","135"
"1400","84","84","84","147","147","147","138.55556","138.55556","138.55556","147","147","147"
"1500","84","84","84","159","159","159","131.72728","131.72728","131.72728","159","159","159"
"1600","85.833336","85.833336","85.833336","171","171","171","131.72728","131.72728","131.72728","171","171","171"
"1700","85.833336","85.833336","85.833336","183","183","183","118.78571","118.78571","118.78571","183","183","183"
"1800","91.8421","91.8421","91.8421","195","195","195","115.6","115.6","115.6","195","195","195"
"1900","90.2","90.2","90.2","207","207","207","115.6","115.6","115.6","207","207","207"
"2000","90.2","90.2","90.2","219","219","219","120.875","120.875","120.875","219","219","219"
"2100","95.42857","95.42857","95.42857","231","231","231","120.875","120.875","120.875","231","231","231"
"2200","95.42857","95.42857","95.42857","243","243","243","125.52941","125.52941","125.52941","243","243","243"
"2300","90.88","90.88","90.88","255","255","255","125.52941","125.52941","125.52941","255","255","255"
"2400","90.88","90.88","90.88","267","267","267","129.66667","129.66667","129.66667","267","267","267"
"2500","95.07692","95.07692","95.07692","279","279","279","129.66667","129.66667","129.66667","279","279","279"
"2600","89.35714","89.35714","89.35714","291","291","291","133.36842","133.36842","133.36842","291","291","291"
"2700","89.35714","89.35714","89.35714","303","303","303","133.36842","133.36842","133.36842","303","303","303"
"2800","93.17242","93.17242","93.17242","315","315","315","125.90909","125.90909","125.90909","315","315","315"
"2900","93.17242","93.17242","93.17242","327","327","327","125.90909","125.90909","125.90909","327","327","327"
"3000","89.63636","89.63636","89.63636","339","339","339","129.13043","129.13043","129.13043","339","339","339"
"3100","89.63636","89.63636","89.63636","351","351","351","129.13043","129.13043","129.13043","351","351","351"
"3200","84.13158","84.13158","84.13158","363","363","363","128","128","128","363","363","363"
"3300","80.9","80.9","80.9","375","375","375","128","128","128","375","375","375"
"3400","80.9","80.9","80.9","387","387","387","130.76923","130.76923","130.76923","387","387","387"
"3500","81.833336","81.833336","81.833336","399","399","399","127.25926","127.25926","127.25926","399","399","399"
"3600","81.833336","81.833336","81.833336","411","411","411","127.25926","127.25926","127.25926","411","411","411"
"3700","82.681816","82.681816","82.681816","423","423","423","129.85715","129.85715","129.85715","423","423","423"
"3800","82.681816","82.681816","82.681816","435","435","435","129.85715","129.85715","129.85715","435","435","435"
"3900","84.26087","84.26087","84.26087","447","447","447","132.27586","132.27586","132.27586","447","447","447"
"4000","83.489365","83.489365","83.489365","459","459","459","132.27586","132.27586","132.27586","459","459","459"
"4100","83.489365","83.489365","83.489365","471","471","471","134.53334","134.53334","134.53334","471","471","471"
"4200","82.54","82.54","82.54","483","483","483","134.53334","134.53334","134.53334","483","483","483"
"4300","82.54","82.54","82.54","495","495","495","133.96875","133.96875","133.96875","495","495","495"
"4400","84.84314","84.84314","84.84314","507","507","507","133.96875","133.96875","133.96875","507","507","507"
"4500","84.84314","84.84314","84.84314","519","519","519","135.9697","135.9697","135.9697","519","519","519"
"4600","84.37037","84.37037","84.37037","531","531","531","132.76471","132.76471","132.76471","531","531","531"
"4700","84.37037","84.37037","84.37037","543","543","543","132.76471","132.76471","132.76471","543","543","543"
"4800","86.472725","86.472725","86.472725","555","555","555","134.68571","134.68571","134.68571","555","555","555"
"4900","86.472725","86.472725","86.472725","567","567","567","134.68571","134.68571","134.68571","567","567","567"
"5000","88.5","88.5","88.5","579","579","579","136.5","136.5","136.5","579","579","579"
"5100","87.22414","87.22414","87.22414","591","591","591","136.5","136.5","136.5","591","591","591"
"5200","85.3","85.3","85.3","603","603","603","132.20512","132.20512","132.20512","603","603","603"
"5300","85.3","85.3","85.3","615","615","615","132.20512","132.20512","132.20512","615","615","615"
"5400","85.80645","85.80645","85.80645","627","627","627","131.39024","131.39024","131.39024","627","627","627"
"5500","85.80645","85.80645","85.80645","639","639","639","131.39024","131.39024","131.39024","639","639","639"
"5600","85.4","85.4","85.4","651","651","651","133.0238","133.0238","133.0238","651","651","651"
"5700","85.4","85.4","85.4","663","663","663","133.0238","133.0238","133.0238","663","663","663"
"5800","85","85","85","675","675","675","131.54546","131.54546","131.54546","675","675","675"
"5900","84.53623","84.53623","84.53623","687","687","687","122.270836","122.270836","122.270836","687","687","687"
"6000","84.53623","84.53623","84.53623","699","699","699","122.270836","122.270836","122.270836","699","699","699"
"6100","86.185715","86.185715","86.185715","711","711","711","121.4","121.4","121.4","711","711","711"
"6200","86.185715","86.185715","86.185715","723","723","723","121.4","121.4","121.4","723","723","723"
"6300","87.788734","87.788734","87.788734","735","735","735","122.94118","122.94118","122.94118","735","735","735"
"6400","87.788734","87.788734","87.788734","747","747","747","122.94118","122.94118","122.94118","747","747","747"
"6500","86.95946","86.95946","86.95946","759","759","759","124.42308","124.42308","124.42308","759","759","759"
"6600","86.95946","86.95946","86.95946","771","771","771","124.42308","124.42308","124.42308","771","771","771"
"6700","88.46667","88.46667","88.46667","783","783","783","125.84906","125.84906","125.84906","783","783","783"
"6800","88.46667","88.46667","88.46667","795","795","795","125.84906","125.84906","125.84906","795","795","795"
"6900","89.38961","89.38961","89.38961","807","807","807","125.23637","125.23637","125.23637","807","807","807"
"7000","88.82051","88.82051","88.82051","819","819","819","125.23637","125.23637","125.23637","819","819","819"
"7100","88.82051","88.82051","88.82051","831","831","831","126.57143","126.57143","126.57143","831","831","831"
"7200","89.6625","89.6625","89.6625","843","843","843","124.034485","124.034485","124.034485","843","843","843"
"7300","89.6625","89.6625","89.6625","855","855","855","124.034485","124.034485","124.034485","855","855","855"
"7400","91.02469","91.02469","91.02469","867","867","867","125.32204","125.32204","125.32204","867","867","867"
"7500","91.02469","91.02469","91.02469","879","879","879","123.86667","123.86667","123.86667","879","879","879"
"7600","92.35366","92.35366","92.35366","891","891","891","123.86667","123.86667","123.86667","891","891","891"
"7700","92.35366","92.35366","92.35366","903","903","903","125.11475","125.11475","125.11475","903","903","903"
"7800","93.650604","93.650604","93.650604","915","915","915","125.11475","125.11475","125.11475","915","915","915"
"7900","91.81177","91.81177","91.81177","927","927","927","126.32258","126.32258","126.32258","927","927","927"
"8000","91.81177","91.81177","91.81177","939","939","939","126.32258","126.32258","126.32258","939","939","939"
"8100","93.06977","93.06977","93.06977","951","951","951","127.492065","127.492065","127.492065","951","951","951"
"8200","93.06977","93.06977","93.06977","963","963","963","127.492065","127.492065","127.492065","963","963","963"
"8300","93.78409","93.78409","93.78409","975","975","975","123.16418","123.16418","123.16418","975","975","975"
"8400","93.78409","93.78409","93.78409","987","987","987","123.16418","123.16418","123.16418","987","987","987"
"8500","93.933334","93.933334","93.933334","999","999","999","124.29412","124.29412","124.29412","999","999","999"
"8600","93.933334","93.933334","93.933334","1011","1011","1011","124.29412","124.29412","124.29412","1011","1011","1011"
"8700","95.0989","95.0989","95.0989","1023","1023","1023","122.478874","122.478874","122.478874","1023","1023","1023"
"8800","94.053764","94.053764","94.053764","1035","1035","1035","122.478874","122.478874","122.478874","1035","1035","1035"
"8900","94.053764","94.053764","94.053764","1047","1047","1047","123.55556","123.55556","123.55556","1047","1047","1047"
"9000","94.189476","94.189476","94.189476","1059","1059","1059","123.55556","123.55556","123.55556","1059","1059","1059"
"9100","94.189476","94.189476","94.189476","1071","1071","1071","124.60274","124.60274","124.60274","1071","1071","1071"
"9200","94.77319","94.77319","94.77319","1083","1083","1083","121.746666","121.746666","121.746666","1083","1083","1083"
"9300","94.77319","94.77319","94.77319","1095","1095","1095","121.746666","121.746666","121.746666","1095","1095","1095"
"9400","93.7","93.7","93.7","1107","1107","1107","120.051285","120.051285","120.051285","1107","1107","1107"
"9500","93.95","93.95","93.95","1119","1119","1119","120.051285","120.051285","120.051285","1119","1119","1119"
"9600","93.95","93.95","93.95","1131","1131","1131","121.06329","121.06329","121.06329","1131","1131","1131"
"9700","93.95","93.95","93.95","1143","1143","1143","121.06329","121.06329","121.06329","1143","1143","1143"
"9800","93.95","93.95","93.95","1155","1155","1155","120.641975","120.641975","120.641975","1155","1155","1155"
"9900","93.97","93.97","93.97","1167","1167","1167","119.68293","119.68293","119.68293","1167","1167","1167"
"10000","93.97","93.97","93.97","1179","1179","1179","119.68293","119.68293","119.68293","1179","1179","1179"
"10100","94.47","94.47","94.47","1191","1191","1191","118.18823","118.18823","118.18823","1191","1191","1191"
"10200","94.47","94.47","94.47","1203","1203","1203","118.18823","118.18823","118.18823","1203","1203","1203"
"10300","92.27","92.27","92.27","1215","1215","1215","119.139534","119.139534","119.139534","1215","1215","1215"
"10400","92.27","92.27","92.27","1227","1227","1227","119.139534","119.139534","119.139534","1227","1227","1227"
"10500","94.26","94.26","94.26","1239","1239","1239","120.06896","120.06896","120.06896","1239","1239","1239"
"10600","94.26","94.26","94.26","1251","1251","1251","120.06896","120.06896","120.06896","1251","1251","1251"
"10700","94.26","94.26","94.26","1263","1263","1263","120.97727","120.97727","120.97727","1263","1263","1263"
"10800","94.26","94.26","94.26","1275","1275","1275","120.97727","120.97727","120.97727","1275","1275","1275"
"10900","96.25","96.25","96.25","1287","1287","1287","121.865166","121.865166","121.865166","1287","1287","1287"
"11000","96.25","96.25","96.25","1299","1299","1299","121.865166","121.865166","121.865166","1299","1299","1299"
"11100","97.75","97.75","97.75","1311","1311","1311","122.73333","122.73333","122.73333","1311","1311","1311"
"11200","97.74","97.74","97.74","1323","1323","1323","122.73333","122.73333","122.73333","1323","1323","1323"
"11300","97.74","97.74","97.74","1335","1335","1335","123.58242","123.58242","123.58242","1335","1335","1335"
"11400","97.74","97.74","97.74","1347","1347","1347","123.58242","123.58242","123.58242","1347","1347","1347"
"11500","97.74","97.74","97.74","1359","1359","1359","123.08602","123.08602","123.08602","1359","1359","1359"
"11600","97.74","97.74","97.74","1371","1371","1371","123.08602","123.08602","123.08602","1371","1371","1371"
"11700","97.74","97.74","97.74","1383","1383","1383","123.90426","123.90426","123.90426","1383","1383","1383"
"11800","99.15","99.15","99.15","1395","1395","1395","123.90426","123.90426","123.90426","1395","1395","1395"
"11900","99.15","99.15","99.15","1407","1407","1407","124.70526","124.70526","124.70526","1407","1407","1407"
"12000","97.19","97.19","97.19","1419","1419","1419","124.70526","124.70526","124.70526","1419","1419","1419"
"12100","97.19","97.19","97.19","1431","1431","1431","125.489586","125.489586","125.489586","1431","1431","1431"
"12200","99.18","99.18","99.18","1443","1443","1443","125.489586","125.489586","125.489586","1443","1443","1443"
"12300","99.18","99.18","99.18","1455","1455","1455","124.97959","124.97959","124.97959","1455","1455","1455"
"12400","100.54","100.54","100.54","1467","1467","1467","124.97959","124.97959","124.97959","1467","1467","1467"
"12500","100.54","100.54","100.54","1479","1479","1479","124.97","124.97","124.97","1479","1479","1479"
"12600","100.54","100.54","100.54","1491","1491","1491","124.97","124.97","124.97","1491","1491","1491"
"12700","100.54","100.54","100.54","1503","1503","1503","126.96","126.96","126.96","1503","1503","1503"
"12800","102.25","102.25","102.25","1515","1515","1515","126.96","126.96","126.96","1515","1515","1515"
"12900","102.25","102.25","102.25","1527","1527","1527","126.96","126.96","126.96","1527","1527","1527"
"13000","104.24","104.24","104.24","1539","1539","1539","123.75","123.75","123.75","1539","1539","1539"
"13100","104.24","104.24","104.24","1551","1551","1551","123.75","123.75","123.75","1551","1551","1551"
"13200","102.71","102.71","102.71","1563","1563","1563","123.75","123.75","123.75","1563","1563","1563"
"13300","102.71","102.71","102.71","1575","1575","1575","123.75","123.75","123.75","1575","1575","1575"
"13400","104.23","104.23","104.23","1587","1587","1587","121.76","121.76","121.76","1587","1587","1587"
"13500","104.23","104.23","104.23","1599","1599","1599","121.76","121.76","121.76","1599","1599","1599"
"13600","104.23","104.23","104.23","1611","1611","1611","123.44","123.44","123.44","1611","1611","1611"
"13700","104.23","104.23","104.23","1623","1623","1623","123.44","123.44","123.44","1623","1623","1623"
"13800","106.16","106.16","106.16","1635","1635","1635","123.49","123.49","123.49","1635","1635","1635"
"13900","106.57","106.57","106.57","1647","1647","1647","123.49","123.49","123.49","1647","1647","1647"
"14000","106.57","106.57","106.57","1659","1659","1659","123.5","123.5","123.5","1659","1659","1659"
"14100","108.27","108.27","108.27","1671","1671","1671","122.97","122.97","122.97","1671","1671","1671"
"14200","108.27","108.27","108.27","1683","1683","1683","122.97","122.97","122.97","1683","1683","1683"
"14300","109.9","109.9","109.9","1695","1695","1695","122.97","122.97","122.97","1695","1695","1695"
"14400","109.9","109.9","109.9","1707","1707","1707","122.97","122.97","122.97","1707","1707","1707"
"14500","111.88","111.88","111.88","1719","1719","1719","117.49","117.49","117.49","1719","1719","1719"
"14600","111.88","111.88","111.88","1731","1731","1731","117.79","117.79","117.79","1731","1731","1731"
"14700","111.92","111.92","111.92","1743","1743","1743","117.79","117.79","117.79","1743","1743","1743"
"14800","111.92","111.92","111.92","1755","1755","1755","117.47","117.47","117.47","1755","1755","1755"
"14900","109.94","109.94","109.94","1767","1767","1767","117.47","117.47","117.47","1767","1767","1767"
"15000","109.94","109.94","109.94","1779","1779","1779","117.3","117.3","117.3","1779","1779","1779"
"15100","111.56","111.56","111.56","1791","1791","1791","117.3","117.3","117.3","1791","1791","1791"
"15200","111.56","111.56","111.56","1803","1803","1803","117.3","117.3","117.3","1803","1803","1803"
"15300","111.44","111.44","111.44","1815","1815","1815","117.3","117.3","117.3","1815","1815","1815"
"15400","111.44","111.44","111.44","1827","1827","1827","118.94","118.94","118.94","1827","1827","1827"
"15500","111.44","111.44","111.44","1839","1839","1839","118.94","118.94","118.94","1839","1839","1839"
"15600","110.01","110.01","110.01","1851","1851","1851","116.95","116.95","116.95","1851","1851","1851"
"15700","110.01","110.01","110.01","1863","1863","1863","116.95","116.95","116.95","1863","1863","1863"
"15800","106.48","106.48","106.48","1875","1875","1875","116.95","116.95","116.95","1875","1875","1875"
"15900","106.48","106.48","106.48","1887","1887","1887","116.95","116.95","116.95","1887","1887","1887"
"16000","108.47","108.47","108.47","1899","1899","1899","114.83","114.83","114.83","1899","1899","1899"
"16100","108.47","108.47","108.47","1911","1911","1911","114.83","114.83","114.83","1911","1911","1911"
"16200","108.47","108.47","108.47","1923","1923","1923","116.56","116.56","116.56","1923","1923","1923"
"16300","108.47","108.47","108.47","1935","1935","1935","113.2","113.2","113.2","1935","1935","1935"
"16400","108.47","108.47","108.47","1947","1947","1947","113.2","113.2","113.2","1947","1947","1947"
"16500","108.47","108.47","108.47","1959","1959","1959","113.21","113.21","113.21","1959","1959","1959"
"16600","110.18","110.18","110.18","1971","1971","1971","113.21","113.21","113.21","1971","1971","1971"
"16700","110.18","110.18","110.18","1983","1983","1983","115.1","115.1","115.1","1983","1983","1983"
"16800","110.23","110.23","110.23","1995","1995","1995","113.77","113.77","113.77","1995","1995","1995"
"16900","110.58","110.58","110.58","2007","2007","2007","113.77","113.77","113.77","2007","2007","2007"
"17000","110.58","110.58","110.58","2019","2019","2019","113.77","113.77","113.77","2019","2019","2019"
"17100","110.58","110.58","110.58","2031","2031","2031","113.77","113.77","113.77","2031","2031","2031"
"17200","109.15","109.15","109.15","2043","2043","2043","113.77","113.77","113.77","2043","2043","2043"
"17300","108.06","108.06","108.06","2055","2055","2055","113.8","113.8","113.8","2055","2055","2055"
"17400","108.06","108.06","108.06","2067","2067","2067","113.8","113.8","113.8","2067","2067","2067"
"17500","108.06","108.06","108.06","2079","2079","2079","115.45","115.45","115.45","2079","2079","2079"
"17600","108.06","108.06","108.06","2091","2091","2091","115.45","115.45","115.45","2091","2091","2091"
"17700","108.06","108.06","108.06","2103","2103","2103","117.41","117.41","117.41","2103","2103","2103"
"17800","108.06","108.06","108.06","2115","2115","2115","117.41","117.41","117.41","2115","2115","2115"
"17900","109.14","109.14","109.14","2127","2127","2127","114.05","114.05","114.05","2127","2127","2127"
"18000","109.14","109.14","109.14","2139","2139","2139","112.36","112.36","112.36","2139","2139","2139"
"18100","109.14","109.14","109.14","2151","2151","2151","112.36","112.36","112.36","2151","2151","2151"
"18200","109.14","109.14","109.14","2163","2163","2163","112.36","112.36","112.36","2163","2163","2163"
"18300","110.69","110.69","110.69","2175","2175","2175","112.36","112.36","112.36","2175","2175","2175"
"18400","110.69","110.69","110.69","2187","2187","2187","114.18","114.18","114.18","2187","2187","2187"
"18500","110.69","110.69","110.69","2199","2199","2199","114.18","114.18","114.18","2199","2199","2199"
"18600","110.69","110.69","110.69","2211","2211","2211","111.86","111.86","111.86","2211","2211","2211"
"18700","110.69","110.69","110.69","2223","2223","2223","111.86","111.86","111.86","2223","2223","2223"
"18800","110.69","110.69","110.69","2235","2235","2235","113.48","113.48","113.48","2235","2235","2235"
"18900","110.92","110.92","110.92","2247","2247","2247","106.46","106.46","106.46","2247","2247","2247"
"19000","110.92","110.92","110.92","2259","2259","2259","106.46","106.46","106.46","2259","2259","2259"
"19100","112.91","112.91","112.91","2271","2271","2271","108.45","108.45","108.45","2271","2271","2271"
"19200","112.91","112.91","112.91","2283","2283","2283","108.45","108.45","108.45","2283","2283","2283"
"19300","112.91","112.91","112.91","2295","2295","2295","110.27","110.27","110.27","2295","2295","2295"
"19400","112.91","112.91","112.91","2307","2307","2307","110.27","110.27","110.27","2307","2307","2307"
"19500","112.91","112.91","112.91","2319","2319","2319","110.27","110.27","110.27","2319","2319","2319"
"19600","112.91","112.91","112.91","2331","2331","2331","110.27","110.27","110.27","2331","2331","2331"
"19700","112.45","112.45","112.45","2343","2343","2343","110.27","110.27","110.27","2343","2343","2343"
"19800","112.45","112.45","112.45","2355","2355","2355","110.27","110.27","110.27","2355","2355","2355"
"19900","112.45","112.45","112.45","2367","2367","2367","111.84","111.84","111.84","2367","2367","2367"
"20000","112.24","112.24","112.24","2379","2379","2379","111.84","111.84","111.84","2379","2379","2379"
"20100","112.24","112.24","112.24","2391","2391","2391","111.9","111.9","111.9","2391","2391","2391"
"20200","110.3","110.3","110.3","2403","2403","2403","109.98","109.98","109.98","2403","2403","2403"
"20300","108.16","108.16","108.16","2415","2415","2415","109.98","109.98","109.98","2415","2415","2415"
"20400","108.16","108.16","108.16","2427","2427","2427","111.88","111.88","111.88","2427","2427","2427"
"20500","110.39","110.39","110.39","2439","2439","2439","111.88","111.88","111.88","2439","2439","2439"
"20600","110.39","110.39","110.39","2451","2451","2451","111.6","111.6","111.6","2451","2451","2451"
"20700","112.11","112.11","112.11","2463","2463","2463","111.6","111.6","111.6","2463","2463","2463"
"20800","112.11","112.11","112.11","2475","2475","2475","111.91","111.91","111.91","2475","2475","2475"
"20900","110.12","110.12","110.12","2487","2487","2487","110.44","110.44","110.44","2487","2487","2487"
"21000","110.12","110.12","110.12","2499","2499","2499","110.44","110.44","110.44","2499","2499","2499"
"21100","109.62","109.62","109.62","2511","2511","2511","112.36","112.36","112.36","2511","2511","2511"
"21200","109.62","109.62","109.62","2523","2523","2523","112.36","112.36","112.36","2523","2523","2523"
"21300","109.62","109.62","109.62","2535","2535","2535","113.94","113.94","113.94","2535","2535","2535"
"21400","109.62","109.62","109.62","2547","2547","2547","113.94","113.94","113.94","2547","2547","2547"
"21500","112.02","112.02","112.02","2559","2559","2559","114.28","114.28","114.28","2559","2559","2559"
"21600","112.02","112.02","112.02","2571","2571","2571","114.28","114.28","114.28","2571","2571","2571"
"21700","110.03","110.03","110.03","2583","2583","2583","115.97","115.97","115.97","2583","2583","2583"
"21800","106.84","106.84","106.84","2595","2595","2595","115.97","115.97","115.97","2595","2595","2595"
"21900","107.03","107.03","107.03","2607","2607","2607","115.97","115.97","115.97","2607","2607","2607"
"22000","107.03","107.03","107.03","2619","2619","2619","115.97","115.97","115.97","2619","2619","2619"
"22100","105.43","105.43","105.43","2631","2631","2631","114.26","114.26","114.26","2631","2631","2631"
"22200","105.43","105.43","105.43","2643","2643","2643","114.26","114.26","114.26","2643","2643","2643"
"22300","107.42","107.42","107.42","2655","2655","2655","112.27","112.27","112.27","2655","2655","2655"
"22400","107.42","107.42","107.42","2667","2667","2667","112.27","112.27","112.27","2667","2667","2667"
"22500","105.71","105.71","105.71","2679","2679","2679","110.28","110.28","110.28","2679","2679","2679"
"22600","104.45","104.45","104.45","2691","2691","2691","110.6","110.6","110.6","2691","2691","2691"
"22700","96.95","96.95","96.95","2703","2703","2703","110.6","110.6","110.6","2703","2703","2703"
"22800","96.95","96.95","96.95","2715","2715","2715","103.34","103.34","103.34","2715","2715","2715"
"22900","96.95","96.95","96.95","2727","2727","2727","103.34","103.34","103.34","2727","2727","2727"
"23000","96.95","96.95","96.95","2739","2739","2739","104.85","104.85","104.85","2739","2739","2739"
"23100","98.44","98.44","98.44","2751","2751","2751","104.85","104.85","104.85","2751","2751","2751"
"23200","98.44","98.44","98.44","2763","2763","2763","104.85","104.85","104.85","2763","2763","2763"
"23300","96.96","96.96","96.96","2775","2775","2775","104.85","104.85","104.85","2775","2775","2775"
"23400","96.96","96.96","96.96","2787","2787","2787","104.85","104.85","104.85","2787","2787","2787"
"23500","96.98","96.98","96.98","2799","2799","2799","104.85","104.85","104.85","2799","2799","2799"
"23600","96.98","96.98","96.98","2811","2811","2811","106.57","106.57","106.57","2811","2811","2811"
"23700","98.56","98.56","98.56","2823","2823","2823","106.57","106.57","106.57","2823","2823","2823"
"23800","91.34","91.34","91.34","2835","2835","2835","108.26","108.26","108.26","2835","2835","2835"
"23900","91.34","91.34","91.34","2847","2847","2847","108.26","108.26","108.26","2847","2847","2847"
"24000","91.3","91.3","91.3","2859","2859","2859","109.92","109.92","109.92","2859","2859","2859"
"24100","91.3","91.3","91.3","2871","2871","2871","108.21","108.21","108.21","2871","2871","2871"
"24200","93.56","93.56","93.56","2883","2883","2883","108.21","108.21","108.21","2883","2883","2883"
"24300","93.56","93.56","93.56","2895","2895","2895","108.21","108.21","108.21","2895","2895","2895"
"24400","93.56","93.56","93.56","2907","2907","2907","108.21","108.21","108.21","2907","2907","2907"
"24500","92.31","92.31","92.31","2919","2919","2919","110.2","110.2","110.2","2919","2919","2919"
"24600","92.46","92.46","92.46","2931","2931","2931","110.2","110.2","110.2","2931","2931","2931"
"24700","92.46","92.46","92.46","2943","2943","2943","110.2","110.2","110.2","2943","2943","2943"
"24800","92.46","92.46","92.46","2955","2955","2955","110.2","110.2","110.2","2955","2955","2955"
"24900","92.46","92.46","92.46","2967","2967","2967","110.2","110.2","110.2","2967","2967","2967"
"25000","94.44","94.44","94.44","2979","2979","2979","110.2","110.2","110.2","2979","2979","2979"
"25100","94.44","94.44","94.44","2991","2991","2991","110.76","110.76","110.76","2991","2991","2991"
"25200","96.14","96.14","96.14","3003","3003","3003","110.76","110.76","110.76","3003","3003","3003"
"25300","96.14","96.14","96.14","3015","3015","3015","112.74","112.74","112.74","3015","3015","3015"
"25400","96.14","96.14","96.14","3027","3027","3027","112.74","112.74","112.74","3027","3027","3027"
"25500","96.14","96.14","96.14","3039","3039","3039","112.64","112.64","112.64","3039","3039","3039"
"25600","98.13","98.13","98.13","3051","3051","3051","112.64","112.64","112.64","3051","3051","3051"
"25700","98.13","98.13","98.13","3063","3063","3063","112.64","112.64","112.64","3063","3063","3063"
"25800","100.11","100.11","100.11","3075","3075","3075","113","113","113","3075","3075","3075"
"25900","100.11","100.11","100.11","3087","3087","3087","113","113","113","3087","3087","3087"
"26000","102.11","102.11","102.11","3099","3099","3099","114.96","114.96","114.96","3099","3099","3099"
