"global_step","4 agents 4 humans - rollout/ep_rew_mean","4 agents 4 humans - rollout/ep_rew_mean__MIN","4 agents 4 humans - rollout/ep_rew_mean__MAX","4 agents 4 humans - _step","4 agents 4 humans - _step__MIN","4 agents 4 humans - _step__MAX","8 agents - rollout/ep_rew_mean","8 agents - rollout/ep_rew_mean__MIN","8 agents - rollout/ep_rew_mean__MAX","8 agents - _step","8 agents - _step__MIN","8 agents - _step__MAX"
"100","-43.61962","-43.61962","-43.61962","1","1","1","-24.81668","-24.81668","-24.81668","1","1","1"
"200","-43.61962","-43.61962","-43.61962","4","4","4","-24.81668","-24.81668","-24.81668","4","4","4"
"300","-13.37133","-13.37133","-13.37133","16","16","16","8.402577","8.402577","8.402577","16","16","16"
"400","-13.37133","-13.37133","-13.37133","28","28","28","8.402577","8.402577","8.402577","28","28","28"
"500","-3.3116932","-3.3116932","-3.3116932","40","40","40","9.153957","9.153957","9.153957","40","40","40"
"600","-3.3116932","-3.3116932","-3.3116932","52","52","52","9.153957","9.153957","9.153957","52","52","52"
"700","3.1590507","3.1590507","3.1590507","64","64","64","15.65768","15.65768","15.65768","64","64","64"
"800","3.1590507","3.1590507","3.1590507","76","76","76","15.65768","15.65768","15.65768","76","76","76"
"900","12.054614","12.054614","12.054614","88","88","88","19.98325","19.98325","19.98325","88","88","88"
"1000","12.054614","12.054614","12.054614","100","100","100","19.98325","19.98325","19.98325","100","100","100"
"1100","7.703572","7.703572","7.703572","112","112","112","23.080805","23.080805","23.080805","112","112","112"
"1200","7.703572","7.703572","7.703572","124","124","124","23.080805","23.080805","23.080805","124","124","124"
"1300","9.006303","9.006303","9.006303","136","136","136","20.53427","20.53427","20.53427","136","136","136"
"1400","3.6778204","3.6778204","3.6778204","148","148","148","20.53427","20.53427","20.53427","148","148","148"
"1500","3.6778204","3.6778204","3.6778204","160","160","160","18.348154","18.348154","18.348154","160","160","160"
"1600","5.140492","5.140492","5.140492","172","172","172","18.348154","18.348154","18.348154","172","172","172"
"1700","5.140492","5.140492","5.140492","184","184","184","14.041638","14.041638","14.041638","184","184","184"
"1800","9.25137","9.25137","9.25137","196","196","196","12.425837","12.425837","12.425837","196","196","196"
"1900","7.511779","7.511779","7.511779","208","208","208","12.425837","12.425837","12.425837","208","208","208"
"2000","7.511779","7.511779","7.511779","220","220","220","14.254351","14.254351","14.254351","220","220","220"
"2100","11.115219","11.115219","11.115219","232","232","232","14.254351","14.254351","14.254351","232","232","232"
"2200","11.115219","11.115219","11.115219","244","244","244","15.865391","15.865391","15.865391","244","244","244"
"2300","7.7903357","7.7903357","7.7903357","256","256","256","15.865391","15.865391","15.865391","256","256","256"
"2400","7.7903357","7.7903357","7.7903357","268","268","268","17.297932","17.297932","17.297932","268","268","268"
"2500","10.69011","10.69011","10.69011","280","280","280","17.297932","17.297932","17.297932","280","280","280"
"2600","6.7981744","6.7981744","6.7981744","292","292","292","18.578293","18.578293","18.578293","292","292","292"
"2700","6.7981744","6.7981744","6.7981744","304","304","304","18.578293","18.578293","18.578293","304","304","304"
"2800","9.434395","9.434395","9.434395","316","316","316","16.03539","16.03539","16.03539","316","316","316"
"2900","9.434395","9.434395","9.434395","328","328","328","16.03539","16.03539","16.03539","328","328","328"
"3000","6.966062","6.966062","6.966062","340","340","340","17.33081","17.33081","17.33081","340","340","340"
"3100","6.966062","6.966062","6.966062","352","352","352","17.33081","17.33081","17.33081","352","352","352"
"3200","3.3984163","3.3984163","3.3984163","364","364","364","16.857353","16.857353","16.857353","364","364","364"
"3300","1.1713494","1.1713494","1.1713494","376","376","376","16.857353","16.857353","16.857353","376","376","376"
"3400","1.1713494","1.1713494","1.1713494","388","388","388","17.809399","17.809399","17.809399","388","388","388"
"3500","1.9139262","1.9139262","1.9139262","400","400","400","16.501537","16.501537","16.501537","400","400","400"
"3600","1.9139262","1.9139262","1.9139262","412","412","412","16.501537","16.501537","16.501537","412","412","412"
"3700","2.5924876","2.5924876","2.5924876","424","424","424","17.39791","17.39791","17.39791","424","424","424"
"3800","2.5924876","2.5924876","2.5924876","436","436","436","17.39791","17.39791","17.39791","436","436","436"
"3900","3.7635684","3.7635684","3.7635684","448","448","448","18.234343","18.234343","18.234343","448","448","448"
"4000","3.042757","3.042757","3.042757","460","460","460","18.234343","18.234343","18.234343","460","460","460"
"4100","3.042757","3.042757","3.042757","472","472","472","19.013414","19.013414","19.013414","472","472","472"
"4200","2.5519717","2.5519717","2.5519717","484","484","484","19.013414","19.013414","19.013414","484","484","484"
"4300","2.5519717","2.5519717","2.5519717","496","496","496","18.676403","18.676403","18.676403","496","496","496"
"4400","4.134709","4.134709","4.134709","508","508","508","18.676403","18.676403","18.676403","508","508","508"
"4500","4.134709","4.134709","4.134709","520","520","520","19.3731","19.3731","19.3731","520","520","520"
"4600","3.8168929","3.8168929","3.8168929","532","532","532","18.249954","18.249954","18.249954","532","532","532"
"4700","3.8168929","3.8168929","3.8168929","544","544","544","18.249954","18.249954","18.249954","544","544","544"
"4800","5.259963","5.259963","5.259963","556","556","556","18.919458","18.919458","18.919458","556","556","556"
"4900","5.259963","5.259963","5.259963","568","568","568","18.919458","18.919458","18.919458","568","568","568"
"5000","6.6527767","6.6527767","6.6527767","580","580","580","19.54925","19.54925","19.54925","580","580","580"
"5100","5.435108","5.435108","5.435108","592","592","592","19.54925","19.54925","19.54925","592","592","592"
"5200","3.9962344","3.9962344","3.9962344","604","604","604","18.166742","18.166742","18.166742","604","604","604"
"5300","3.9962344","3.9962344","3.9962344","616","616","616","18.166742","18.166742","18.166742","616","616","616"
"5400","4.4150877","4.4150877","4.4150877","628","628","628","17.844912","17.844912","17.844912","628","628","628"
"5500","4.4150877","4.4150877","4.4150877","640","640","640","17.844912","17.844912","17.844912","640","640","640"
"5600","4.148966","4.148966","4.148966","652","652","652","18.411573","18.411573","18.411573","652","652","652"
"5700","4.148966","4.148966","4.148966","664","664","664","18.411573","18.411573","18.411573","664","664","664"
"5800","3.895113","3.895113","3.895113","676","676","676","17.958574","17.958574","17.958574","676","676","676"
"5900","3.4317427","3.4317427","3.4317427","688","688","688","14.727871","14.727871","14.727871","688","688","688"
"6000","3.4317427","3.4317427","3.4317427","700","700","700","14.727871","14.727871","14.727871","700","700","700"
"6100","4.6920586","4.6920586","4.6920586","712","712","712","14.4750395","14.4750395","14.4750395","712","712","712"
"6200","4.6920586","4.6920586","4.6920586","724","724","724","14.4750395","14.4750395","14.4750395","724","724","724"
"6300","5.7971034","5.7971034","5.7971034","736","736","736","15.008458","15.008458","15.008458","736","736","736"
"6400","5.7971034","5.7971034","5.7971034","748","748","748","15.008458","15.008458","15.008458","748","748","748"
"6500","5.46038","5.46038","5.46038","760","760","760","15.520781","15.520781","15.520781","760","760","760"
"6600","5.46038","5.46038","5.46038","772","772","772","15.520781","15.520781","15.520781","772","772","772"
"6700","6.4987555","6.4987555","6.4987555","784","784","784","16.01269","16.01269","16.01269","784","784","784"
"6800","6.4987555","6.4987555","6.4987555","796","796","796","16.01269","16.01269","16.01269","796","796","796"
"6900","7.0206966","7.0206966","7.0206966","808","808","808","15.800204","15.800204","15.800204","808","808","808"
"7000","6.5538325","6.5538325","6.5538325","820","820","820","15.800204","15.800204","15.800204","820","820","820"
"7100","6.5538325","6.5538325","6.5538325","832","832","832","16.261087","16.261087","16.261087","832","832","832"
"7200","7.0372653","7.0372653","7.0372653","844","844","844","15.255857","15.255857","15.255857","844","844","844"
"7300","7.0372653","7.0372653","7.0372653","856","856","856","15.255857","15.255857","15.255857","856","856","856"
"7400","7.9795113","7.9795113","7.9795113","868","868","868","15.702578","15.702578","15.702578","868","868","868"
"7500","7.9795113","7.9795113","7.9795113","880","880","880","15.169175","15.169175","15.169175","880","880","880"
"7600","8.898175","8.898175","8.898175","892","892","892","15.169175","15.169175","15.169175","892","892","892"
"7700","8.898175","8.898175","8.898175","904","904","904","15.603319","15.603319","15.603319","904","904","904"
"7800","9.794592","9.794592","9.794592","916","916","916","15.603319","15.603319","15.603319","916","916","916"
"7900","8.538256","8.538256","8.538256","928","928","928","16.023317","16.023317","16.023317","928","928","928"
"8000","8.538256","8.538256","8.538256","940","940","940","16.023317","16.023317","16.023317","940","940","940"
"8100","9.407049","9.407049","9.407049","952","952","952","16.42959","16.42959","16.42959","952","952","952"
"8200","9.407049","9.407049","9.407049","964","964","964","16.42959","16.42959","16.42959","964","964","964"
"8300","9.898266","9.898266","9.898266","976","976","976","15.0182495","15.0182495","15.0182495","976","976","976"
"8400","9.898266","9.898266","9.898266","988","988","988","15.0182495","15.0182495","15.0182495","988","988","988"
"8500","10.052646","10.052646","10.052646","1000","1000","1000","15.410302","15.410302","15.410302","1000","1000","1000"
"8600","10.052646","10.052646","10.052646","1012","1012","1012","15.410302","15.410302","15.410302","1012","1012","1012"
"8700","10.949138","10.949138","10.949138","1024","1024","1024","14.769639","14.769639","14.769639","1024","1024","1024"
"8800","10.053119","10.053119","10.053119","1036","1036","1036","14.769639","14.769639","14.769639","1036","1036","1036"
"8900","10.053119","10.053119","10.053119","1048","1048","1048","15.142829","15.142829","15.142829","1048","1048","1048"
"9000","10.195393","10.195393","10.195393","1060","1060","1060","15.142829","15.142829","15.142829","1060","1060","1060"
"9100","10.195393","10.195393","10.195393","1072","1072","1072","15.506301","15.506301","15.506301","1072","1072","1072"
"9200","10.519241","10.519241","10.519241","1084","1084","1084","14.525585","14.525585","14.525585","1084","1084","1084"
"9300","10.519241","10.519241","10.519241","1096","1096","1096","14.525585","14.525585","14.525585","1096","1096","1096"
"9400","9.941494","9.941494","9.941494","1108","1108","1108","13.947209","13.947209","13.947209","1108","1108","1108"
